param_set,taylor_degree,true_parameters,pred_parameters
1,1,"[6.321356867144864, 0.013614534752366188, 0.010810893653586229, 0.005473164261920107, 0.1785716258979817, 0.008424274607134618]","[2.2896757395491107, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816303, 0.007727086106956897, 0.2055]"
1,2,"[6.321356867144864, 0.013614534752366188, 0.010810893653586229, 0.005473164261920107, 0.1785716258979817, 0.008424274607134618]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,3,"[6.321356867144864, 0.013614534752366188, 0.010810893653586229, 0.005473164261920107, 0.1785716258979817, 0.008424274607134618]","[2.5362836551084413, 0.0029048905995370253, 0.004980616635739672, 0.0046686769744327065, 0.007636629333902233, 0.2055]"
1,4,"[6.321356867144864, 0.013614534752366188, 0.010810893653586229, 0.005473164261920107, 0.1785716258979817, 0.008424274607134618]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,5,"[6.321356867144864, 0.013614534752366188, 0.010810893653586229, 0.005473164261920107, 0.1785716258979817, 0.008424274607134618]","[2.8818906010301464, 0.003983890490143536, 0.006767306234727972, 0.004699744735363736, 0.007629096839143215, 0.2055]"
1,6,"[6.321356867144864, 0.013614534752366188, 0.010810893653586229, 0.005473164261920107, 0.1785716258979817, 0.008424274607134618]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,7,"[6.321356867144864, 0.013614534752366188, 0.010810893653586229, 0.005473164261920107, 0.1785716258979817, 0.008424274607134618]","[3.2818561541989144, 0.005088853236754107, 0.008435414336642742, 0.00469999892786997, 0.007629000544887019, 0.2055]"
2,1,"[6.51448708991684, 0.014925398288341014, 0.012726105099340225, 0.0052225538421135954, 0.1921646109219494, 0.005923436594619874]","[2.2896757395491107, 0.0018267801166781661, 0.0030925079564779554, 0.0037303600957816307, 0.007727086106956896, 0.2055]"
2,2,"[6.51448708991684, 0.014925398288341014, 0.012726105099340225, 0.0052225538421135954, 0.1921646109219494, 0.005923436594619874]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,3,"[6.51448708991684, 0.014925398288341014, 0.012726105099340225, 0.0052225538421135954, 0.1921646109219494, 0.005923436594619874]","[2.536283655108441, 0.0029048905995370244, 0.004980616635739675, 0.004668676974432707, 0.007636629333902227, 0.2055]"
2,4,"[6.51448708991684, 0.014925398288341014, 0.012726105099340225, 0.0052225538421135954, 0.1921646109219494, 0.005923436594619874]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,5,"[6.51448708991684, 0.014925398288341014, 0.012726105099340225, 0.0052225538421135954, 0.1921646109219494, 0.005923436594619874]","[2.8818906010301455, 0.0039838904901435285, 0.006767306234727977, 0.004699744735363736, 0.007629096839143216, 0.2055]"
2,6,"[6.51448708991684, 0.014925398288341014, 0.012726105099340225, 0.0052225538421135954, 0.1921646109219494, 0.005923436594619874]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,7,"[6.51448708991684, 0.014925398288341014, 0.012726105099340225, 0.0052225538421135954, 0.1921646109219494, 0.005923436594619874]","[3.2818561541989113, 0.005088853236754096, 0.008435414336642754, 0.00469999892786997, 0.007629000544887015, 0.2055]"
3,1,"[6.64412188540617, 0.012095647598766843, 0.009783626094750548, 0.005856277445114107, 0.20873012586473091, 0.006249233620236737]","[2.2896757395491107, 0.001826780116678166, 0.003092507956477956, 0.0037303600957816303, 0.007727086106956896, 0.2055]"
3,2,"[6.64412188540617, 0.012095647598766843, 0.009783626094750548, 0.005856277445114107, 0.20873012586473091, 0.006249233620236737]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,3,"[6.64412188540617, 0.012095647598766843, 0.009783626094750548, 0.005856277445114107, 0.20873012586473091, 0.006249233620236737]","[2.5362836551084413, 0.002904890599537026, 0.004980616635739672, 0.004668676974432707, 0.007636629333902228, 0.2055]"
3,4,"[6.64412188540617, 0.012095647598766843, 0.009783626094750548, 0.005856277445114107, 0.20873012586473091, 0.006249233620236737]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,5,"[6.64412188540617, 0.012095647598766843, 0.009783626094750548, 0.005856277445114107, 0.20873012586473091, 0.006249233620236737]","[2.8818906010301446, 0.003983890490143528, 0.006767306234727981, 0.004699744735363736, 0.007629096839143214, 0.2055]"
