taylor_n,interval_range,count,x1_mean,x2_mean,x3_mean,x4_mean,x5_mean,x6_mean
1,0.05,100,0.0015132652870812396,0.0013925074461291105,0.0009706110858092511,5.26850675257384e-16,1.0,1.0
2,0.05,100,4.592218683490445e-5,4.7500793882153236e-5,2.9256909283884108e-5,5.23529726508451e-16,1.0,1.0
3,0.05,100,1.3564291058093458e-6,1.173367160438725e-6,5.791113944099065e-7,5.23529726508451e-16,0.0024740305374949703,0.0054619665584252994
4,0.05,100,2.3145065246552763e-8,2.0857857025097075e-8,9.964686791406978e-9,5.26850675257384e-16,0.00024088909611305834,0.0013845764537774902
5,0.05,100,3.760210472632071e-10,3.307933712520137e-10,1.3022097673188673e-10,5.23529726508451e-16,1.6069537822914244e-5,3.7648814881061516e-5
6,0.05,100,5.5562272025240815e-12,4.3569389300641964e-12,1.7111666735501232e-12,5.23529726508451e-16,1.1437617026383754e-6,6.764079911753753e-6
7,0.05,100,8.58858296401104e-13,7.742587985884198e-13,4.96074072484408e-13,5.23529726508451e-16,5.75306627049761e-8,1.400020659651155e-7
8,0.05,100,7.334718132129092e-13,6.565817626041422e-13,4.0424720560659235e-13,5.23529726508451e-16,3.201078032413482e-9,1.9254979403067026e-8
9,0.05,100,7.748406033746258e-13,6.354590156885054e-13,1.0674951665027296e-13,5.23529726508451e-16,1.2869311493262073e-10,3.199364339145497e-10
10,0.05,100,1.0325359108637186e-12,8.60666827605999e-13,3.1557563068632817e-13,5.26850675257384e-16,5.885466954177274e-12,3.589029917169442e-11
1,0.1,100,0.006354391780155391,0.005704814656376817,0.004234373948587469,4.082992061213704e-16,1.0,1.0
2,0.1,100,0.0004949927722545963,0.00045535827096115613,0.0002840541368557684,4.082992061213704e-16,1.0,1.0
3,0.1,100,2.5299044004147212e-5,2.4589100718755924e-5,7.688701407383382e-6,4.082992061213704e-16,0.0025437401141075815,0.0055616575771073925
4,0.1,100,1.1479069663615453e-6,1.0449841108458504e-6,2.752578872552368e-7,4.082992061213704e-16,0.0002482435745723302,0.0014177821512463117
5,0.1,100,4.139130651666809e-8,3.502720075058215e-8,7.626657101927692e-9,4.082992061213704e-16,1.6674998897304258e-5,3.8971470762762624e-5
6,0.1,100,1.1616421735621496e-9,1.0988398093598264e-9,1.9333080483360017e-10,4.082992061213704e-16,1.1898882731922747e-6,7.0862919282757894e-6
