taylor_n,interval_range,count,interval_range_RMSE,b_RMSE,cel_RMSE,cea_RMSE,cpa_RMSE,μl_RMSE,μa_RMSE
1,0.05,20,0.223606797749979,4.122112678805658 + 0.0im,0.009757570283781975 + 0.0im,0.007852918523718456 + 0.0im,0.0008451886415889482 + 0.0im,0.1977772226983727 + 0.0im,0.19786497075190204 + 0.0im
2,0.05,20,0.223606797749979,4.700783271271399 + 0.6697050923638966im,0.008690996851619781 + 0.0034800198412560357im,0.006209908773951522 - 0.002212213412162611im,0.007230869628907123 - 2.3627433734951365e-38im,0.1994403926317319 + 1.6842231349131845e-38im,0.1988244458228646 - 6.748974481205426e-81im
3,0.05,20,0.223606797749979,3.8957372077639105 + 0.0im,0.008575520011766341 + 0.0im,0.005908217626356815 + 0.0im,2.4972378578351364e-5 + 0.0im,0.1960790020574739 + 0.0im,0.19608511755825103 + 0.0im
4,0.05,20,0.223606797749979,5.46596081818116 + 0.8802265931315888im,0.00039277189459392404 - 0.008196419291805736im,0.0031297430194758445 + 0.008051148575690326im,0.00012847909114593203 - 0.01609132756407104im,0.20115651228903292 - 0.0003466320058715874im,0.1968172581726536 + 1.2777418745753498e-61im
5,0.05,20,0.223606797749979,3.5637064044209863 + 0.0im,0.007578015859412921 + 0.0im,0.0042925074561336474 + 0.0im,1.9027903666657962e-7 + 0.0im,0.1980965205799322 + 0.0im,0.19809658859321186 + 0.0im
6,0.05,20,0.223606797749979,3.2163400116682865 + 2.3161660707656955im,0.0010872098040386644 + 0.013706199492689433im,0.007910268903676746 - 0.012801761219756909im,0.006508291188869903 + 0.022609210041068074im,0.20969107991604072 + 0.0005470985759544846im,0.1987112632108203 + 0.0im
7,0.05,20,0.223606797749979,3.1083715001651426 + 0.0im,0.006539422247709298 + 0.0im,0.002421680910669071 + 0.0im,7.077580935291482e-10 + 0.0im,0.19627044898343873 + 0.0im,0.19627044932004595 + 0.0im
1,0.1,20,0.31622776601683794,3.991068361500986 + 0.0im,0.009258943102124231 + 0.0im,0.007425818521919763 + 0.0im,0.0007832995524315843 + 0.0im,0.19803084456886091 + 0.0im,0.19810428942386898 + 0.0im
2,0.1,20,0.31622776601683794,4.561093611167641 - 0.16039288154231696im,0.00634315557946889 - 0.0013802501157853008im,0.004372506036446775 + 0.0016710142019829362im,0.008054163576276294 + 3.03349757069239e-41im,0.19869313562187504 - 1.6240804327265073e-41im,0.1980265338940249 + 0.0im
3,0.1,20,0.31622776601683794,3.7071156465814235 + 0.0im,0.008034588439265796 + 0.0im,0.005578015270765203 + 0.0im,2.4205622749178586e-5 + 0.0im,0.2000440146079342 + 0.0im,0.2000495702812441 + 0.0im
4,0.1,20,0.31622776601683794,5.277787071681919 + 1.018880726916393im,0.0024286029733352347 + 0.013965701573693135im,0.001889985358286459 - 0.009791412521142793im,0.0005205400972161883 - 0.00958999549445945im,0.19930927803052625 - 0.0005646388833523959im,0.19605741230036666 + 0.0im
5,0.1,20,0.31622776601683794,3.2681059092362164 + 0.0im,0.006918191855708489 + 0.0im,0.003717376354038865 + 0.0im,1.7818953525723005e-7 + 0.0im,0.19425719244755232 + 0.0im,0.1942572498794279 + 0.0im
6,0.1,20,0.31622776601683794,5.351425616158129 + 1.1028157424399576im,0.004919373598065394 - 0.014975508185210635im,0.004934404178588487 - 0.013582061673202436im,0.0008564264711362138 - 0.02291927488968252im,0.2120481103643906 - 9.467741479516087e-5im,0.19894067988761135 + 2.1291288211968753e-95im
7,0.1,20,0.31622776601683794,2.917095843130365 + 0.0im,0.005430255599311702 + 0.0im,0.0025361832323399533 + 0.0im,6.131517713936043e-10 + 0.0im,0.20043361496526554 + 0.0im,0.20043361519289918 + 0.0im
