Taylor(n),Interval,Mean(b),Mean(c_ea),Mean(c_el),Mean(mu_l),Mean(c_pa),Mean(mu_a),Med(b),Med(c_ea),Med(c_el),Med(mu_l),Med(c_pa),Med(mu_a)
1,0.05,0.0715530571548839,0.07146318272005028,0.07112916245664351,5.231055251234517e-16,1.0,1.0,0.0015132652870812396,0.0013925074461291105,0.0009706110858092511,5.26850675257384e-16,1.0,1.0
2,0.05,9.15606169835431e-5,8.26462250201436e-5,5.8342049507612275e-5,5.258446182486349e-16,1.0,1.0,4.592218683490445e-5,4.7500793882153236e-5,2.9256909283884108e-5,5.23529726508451e-16,1.0,1.0
3,0.05,3.6655962262871088e-6,3.1006233801937847e-6,1.8651946027979494e-6,5.271895270205549e-16,0.07228312995233181,0.07485182094236371,1.3564291058093458e-6,1.173367160438725e-6,5.791113944099065e-7,5.23529726508451e-16,0.0024740305374949703,0.0054619665584252994
4,0.05,1.1862410429578508e-7,1.0028756276291723e-7,5.162980586375355e-8,5.258576400330237e-16,0.01024188998134389,0.011370416374168114,2.3145065246552763e-8,2.0857857025097075e-8,9.964686791406978e-9,5.26850675257384e-16,0.00024088909611305834,0.0013845764537774902
5,0.05,3.3770724316442176e-9,2.8589341992654486e-9,1.2347950411489323e-9,5.272269649000788e-16,1.6412092301140575e-5,3.769761861705472e-5,3.760210472632071e-10,3.307933712520137e-10,1.3022097673188673e-10,5.23529726508451e-16,1.6069537822914244e-5,3.7648814881061516e-5
6,0.05,8.624563591570157e-11,7.333763241459048e-11,2.6397247672634243e-11,5.244246811667487e-16,1.1781695506537346e-6,6.776968682714075e-6,5.5562272025240815e-12,4.3569389300641964e-12,1.7111666735501232e-12,5.23529726508451e-16,1.1437617026383754e-6,6.764079911753753e-6
7,0.05,2.4762522045766665e-12,2.126944847260168e-12,9.553093885547707e-13,5.245385646135432e-16,5.978634790811988e-8,1.4481763556475537e-7,8.58858296401104e-13,7.742587985884198e-13,4.96074072484408e-13,5.23529726508451e-16,5.75306627049761e-8,1.400020659651155e-7
8,0.05,8.662324838455512e-13,7.554895980863748e-13,4.0709574392858323e-13,5.272906795231152e-16,3.359757277353232e-9,1.9369576112410594e-8,7.334718132129092e-13,6.565817626041422e-13,4.0424720560659235e-13,5.23529726508451e-16,3.201078032413482e-9,1.9254979403067026e-8
9,0.05,9.322462612813702e-13,7.868886516560767e-13,1.0648028969541138e-13,5.259081803207529e-16,1.3702182797697628e-10,3.482778652480727e-10,7.748406033746258e-13,6.354590156885054e-13,1.0674951665027296e-13,5.23529726508451e-16,1.2869311493262073e-10,3.199364339145497e-10
10,0.05,1.1783302144977272e-12,1.0033965359728095e-12,3.163434805579742e-13,5.286224858868299e-16,6.322496474535813e-12,3.6322457963275657e-11,1.0325359108637186e-12,8.60666827605999e-13,3.1557563068632817e-13,5.26850675257384e-16,5.885466954177274e-12,3.589029917169442e-11
