taylor_n,interval_range,count,x1_mean,x2_mean,x3_mean,x4_mean,x5_mean,x6_mean
1,0.05,100,0.0715530571548839,0.07146318272005028,0.07112916245664351,5.231055251234517e-16,1.0,1.0
2,0.05,100,9.15606169835431e-5,8.26462250201436e-5,5.8342049507612275e-5,5.258446182486349e-16,1.0,1.0
3,0.05,100,3.6655962262871088e-6,3.1006233801937847e-6,1.8651946027979494e-6,5.271895270205549e-16,0.07228312995233181,0.07485182094236371
4,0.05,100,1.1862410429578508e-7,1.0028756276291723e-7,5.162980586375355e-8,5.258576400330237e-16,0.01024188998134389,0.011370416374168114
5,0.05,100,3.3770724316442176e-9,2.8589341992654486e-9,1.2347950411489323e-9,5.272269649000788e-16,1.6412092301140575e-5,3.769761861705472e-5
6,0.05,100,8.624563591570157e-11,7.333763241459048e-11,2.6397247672634243e-11,5.244246811667487e-16,1.1781695506537346e-6,6.776968682714075e-6
7,0.05,100,2.4762522045766665e-12,2.126944847260168e-12,9.553093885547707e-13,5.245385646135432e-16,5.978634790811988e-8,1.4481763556475537e-7
8,0.05,100,8.662324838455512e-13,7.554895980863748e-13,4.0709574392858323e-13,5.272906795231152e-16,3.359757277353232e-9,1.9369576112410594e-8
9,0.05,100,9.322462612813702e-13,7.868886516560767e-13,1.0648028969541138e-13,5.259081803207529e-16,1.3702182797697628e-10,3.482778652480727e-10
10,0.05,100,1.1783302144977272e-12,1.0033965359728095e-12,3.163434805579742e-13,5.286224858868299e-16,6.322496474535813e-12,3.6322457963275657e-11
1,0.1,100,0.10602109790082494,0.10566204681129782,0.1044514167058224,4.67996095203836e-16,0.9916401953940865,0.991135150191017
2,0.1,100,0.05075010784581845,0.0506704389160234,0.05048087891653836,4.693510331247678e-16,0.6587767372306196,0.7003720407747462
3,0.1,100,8.09405128303629e-5,6.673115720481199e-5,3.966815277585989e-5,4.693510331247678e-16,0.06240881942287349,0.06501698864089057
4,0.1,100,5.8387220106794844e-6,4.766353102359976e-6,2.4178355958174486e-6,4.666966968997417e-16,0.010256316371776346,0.011415327718987267
5,0.1,100,3.633153723544668e-7,2.9502762731392146e-7,1.2642235415487132e-7,4.693510331247678e-16,1.781812193626881e-5,4.488218168710221e-5
6,0.1,100,2.012066972772785e-8,1.6315375805272418e-8,5.881845242996762e-9,4.666966968997417e-16,1.3004315476067897e-6,7.228932107418165e-6
7,0.1,100,1.004750601230633e-9,8.133874203658313e-10,2.472104102093502e-10,4.693510331247678e-16,6.828103535484429e-8,2.0079898863822395e-7
8,0.1,100,4.6208894052172326e-11,3.7317025122076525e-11,9.7471499190109e-12,4.666966968997417e-16,3.915407335093421e-9,2.1543281193382515e-8
9,0.1,100,2.6715077146647487e-12,2.179571665728985e-12,3.724347658947173e-13,4.666966968997417e-16,1.6653433644412882e-10,5.510371158236579e-10
10,0.1,100,1.5774737092295307e-12,1.3469941110992971e-12,3.2419642040599107e-13,4.693510331247678e-16,7.867263112457857e-12,4.255247422343635e-11
1,0.2,100,0.2669558009669212,0.26629670762268765,0.26127538083191,4.943885365799464e-16,0.8520463354256836,0.8380141804005171
2,0.2,100,0.23461980978043193,0.23426187602543297,0.2323992284144632,4.943885365799464e-16,0.30896107721564164,0.39486150247768736
3,0.2,100,0.03139399102350051,0.03115517663349564,0.0305516681792138,4.943885365799464e-16,0.042831990580805474,0.04722749981912577
4,0.2,100,0.00024183343245378041,0.0001987561480348232,7.493134331481755e-5,4.957639284900674e-16,0.0003008320969762817,0.0016108680325547114
5,0.2,100,2.83472268102169e-5,2.323077003743548e-5,7.702933365665403e-6,4.957515002746769e-16,2.230248768915403e-5,7.810191618564344e-5
6,0.2,100,3.0617604782075083e-6,2.49076880467552e-6,7.309888331413066e-7,4.971268921847978e-16,1.730340125073137e-6,9.080810472240143e-6
7,0.2,100,2.9459755188379345e-7,2.381012597572592e-7,6.23247216279634e-8,4.957639284900674e-16,1.0016535532306682e-7,3.98153307533112e-7
8,0.2,100,2.5772743405150976e-8,2.0686625119519345e-8,4.85495784496405e-9,4.957639284900674e-16,6.151502225175304e-9,3.1097816010879985e-8
9,0.2,100,2.065239482117629e-9,1.6457669908012262e-9,3.4771894759872523e-10,4.943885365799464e-16,2.9676038857137145e-10,1.2415226991275845e-9
10,0.2,100,1.5380706893149292e-10,1.2174322455826002e-10,2.312094184228752e-11,4.957639284900674e-16,1.496927431199872e-11,7.213740969755103e-11
1,0.25,100,0.3392862248975627,0.3373675558648593,0.3340845185137809,5.097047106030481e-16,0.7635220975228233,0.74703486780889
2,0.25,100,0.2347457196678991,0.2346770596023054,0.23380319790440815,5.119066135590891e-16,0.4075918567540589,0.48097782745316403
3,0.25,100,0.012496090309853991,0.012100067236824295,0.011271566546287574,5.105528458868032e-16,0.043341452950213834,0.04795751748498855
4,0.25,100,0.02047475729594642,0.020386626617744767,0.02016488057232678,5.135093898989629e-16,0.01035358499875414,0.011664675800325479
5,0.25,100,6.986578892512913e-5,5.7504734347142296e-5,2.864130443669131e-5,5.143763624901512e-16,2.853839147276423e-5,9.16665219228595e-5
6,0.25,100,9.002909648467797e-6,7.556609975637625e-6,3.3901221675709574e-6,5.135282272063961e-16,2.269000772969305e-6,1.0010027503034998e-5
7,0.25,100,1.0516538785816836e-6,9.141534161967695e-7,3.5975236012939165e-7,5.118877762516559e-16,1.41432827364916e-7,4.929826867386965e-7
8,0.25,100,1.1459138976272492e-7,1.0206353933772024e-7,3.491066578532291e-8,5.113263242503552e-16,8.87417930220368e-9,3.669226556544314e-8
9,0.25,100,1.1516093644589633e-8,1.0511820541075787e-8,3.1157432222337137e-9,5.099913938855024e-16,4.6221413458517473e-10,1.6319767347783274e-9
