param_set,taylor_n,num_solutions,num_real_solutions,true_parameters,pred_parameters
1,1,1,1,"[7.540049395250997, 0.009625767341635016, 0.010292656950340913, 0.005396673830390832, 0.2112438604918186, 0.008841281671914721]","[2.6784032678376755, 0.0030654132493447466, 0.0014299218015744568, 0.004149305734266524, 0.2112438604918185, 0.00894764717227473]"
2,1,1,1,"[7.234692797666877, 0.011102574371423642, 0.011173096926522262, 0.003795586545838597, 0.19696943693532443, 0.009132998612337252]","[2.4222213730345143, 0.0031852886692322188, 0.0014279173606801256, 0.0031439702519442097, 0.19696943693532448, 0.009204982606434962]"
3,1,1,1,"[8.124414631507523, 0.013296128062366196, 0.010138341940810234, 0.00504866083442344, 0.1693627806232393, 0.007821092825203201]","[2.6251088061428702, 0.003813741989183094, 6.13174040070545e-5, 0.003943206886681741, 0.16936278062323928, 0.007925738380394587]"
4,1,1,1,"[6.52337014495481, 0.011853858481330491, 0.009270192983649346, 0.005424881425820791, 0.16551658768647431, 0.005743428095472476]","[2.543580759104123, 0.0033720361419130656, 0.001045813708383388, 0.004162402967314911, 0.16551658768647437, 0.0058664085592976456]"
5,1,1,1,"[5.349496696077116, 0.013214325378416995, 0.010300340766905305, 0.004396154869040357, 0.22867472149908644, 0.007073798491524768]","[2.1790311175634685, 0.0030910343354606322, 0.0019503189803135306, 0.0035385185824961607, 0.22867472149908644, 0.007167000122147682]"
6,1,1,1,"[7.199015722055437, 0.01041933944551836, 0.012733797869361407, 0.005441850646851433, 0.21629622513003233, 0.006221709953275398]","[2.297711327932323, 0.002848301044396331, 0.002231075136786121, 0.004172650223006933, 0.21629622513003238, 0.00634273336421226]"
7,1,1,1,"[6.171960083221835, 0.01467259835149079, 0.014292962204485851, 0.004608669568748206, 0.17848968372237248, 0.00913790964352339]","[1.8550287921036641, 0.002905667340803617, 0.002532464935778501, 0.003674653845664202, 0.1784896837223725, 0.009227811066060647]"
8,1,1,1,"[8.233031686891632, 0.012538101159311768, 0.011192906655309677, 0.004524593121735421, 0.21938533958341178, 0.006652298447601628]","[2.5663904700390785, 0.0035073458757618986, 0.0007757787005692496, 0.0036197970728735172, 0.2193853395834118, 0.0067502155020814575]"
9,1,1,1,"[8.207036996454313, 0.013121450409475863, 0.012764999537279751, 0.003622398064158288, 0.20267809503676612, 0.008714702700339846]","[2.362455990435954, 0.0033319182665597523, 0.0013056163074654874, 0.00302504547940276, 0.20267809503676612, 0.00878370455923965]"
10,1,1,1,"[6.160522578714328, 0.011411933043044043, 0.009143156788385455, 0.004496774506781287, 0.22966908405935316, 0.00880732550750929]","[2.4981638554068692, 0.0032597843725659732, 0.0012805329835110296, 0.0036038638290169568, 0.22966908405935318, 0.008896313796322056]"
11,1,1,1,"[5.35505216846985, 0.012244221761420255, 0.010978638078700233, 0.0054939375489106495, 0.22635557149197122, 0.009325786673646563]","[2.1471858856828, 0.0028996455002112966, 0.0023612149837775264, 0.004205907062014989, 0.22635557149197114, 0.009431266892239274]"
12,1,1,1,"[5.05202844707604, 0.012061731040800614, 0.008678022180931087, 0.004207023793840472, 0.21581912913787954, 0.009128628318708053]","[2.29306708488886, 0.0031632855491184404, 0.001638281728403769, 0.0034178567573304158, 0.21581912913787948, 0.009210070246595337]"
13,1,1,1,"[7.659149977726588, 0.013977215534513893, 0.01413160297429334, 0.004653862984561972, 0.1900683997649168, 0.008234380680353568]","[2.15062953732165, 0.00308337514380819, 0.0020283351893251138, 0.0037021678729792363, 0.1900683997649168, 0.008328916093988012]"
14,1,1,1,"[7.508779930570407, 0.009523067626799305, 0.011176100889662036, 0.003722770860248236, 0.18877818959632411, 0.006232052258751836]","[2.485441313374262, 0.003010360411255812, 0.0015603223595673777, 0.0030927129902041605, 0.18877818959632411, 0.006310324379821911]"
15,1,1,1,"[5.650338880343311, 0.010656434044007184, 0.012184457171457615, 0.004537053473536145, 0.17625251255248647, 0.007747096253484015]","[1.9833595464926856, 0.0028096816847107, 0.002388980840934052, 0.0036285357750314062, 0.17625251255248647, 0.007840922897043932]"
16,1,1,1,"[6.572886464706573, 0.011401233991726458, 0.0118420305502289, 0.004254089456461134, 0.16080153671049208, 0.005813473441598727]","[2.2060765838846152, 0.0030446208676643493, 0.001861255066302969, 0.0034461969721429936, 0.16080153671049205, 0.005907364406768663]"
17,1,1,1,"[7.448847529346538, 0.012027248534713077, 0.01249544561600568, 0.0038134434634416285, 0.22215321306251956, 0.006199395225821079]","[2.2906952348053053, 0.003138109407022146, 0.0016938234700507003, 0.003154386975192182, 0.2221532130625196, 0.006280326334347448]"
