sim_num,interval_range,taylor_n,L_num_real_solutions,P_num_real_solutions,A_num_real_solutions,pred_parameters,sampled_parameters,param_intevals,L_all_real_solutions,P_all_real_solutions,A_all_real_solutions,offmul
1,0.05,1,1,1,1,"(b = 6.751302192376333, c_ea = 0.011611243958765286, c_el = 0.012269512841479369, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.746917829608295, c_el = 0.012360319575741005, c_ea = 0.01159787616541452, c_pa = 0.20557522635871056, mu_l = 0.004634141449459607, mu_a = 0.007390437069319952)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.751302192376333, 0.011611243958765286, 0.012269512841479369]]","[[0.0031938392262162137, 0.010333930909438281]]",[[0.20557522635871042]],"[0.9535381140957265, 0.996549874008707, 1.035348708791826]"
1,0.05,2,4,1,2,"(b = 6.744839345994716, c_ea = 0.011594077946489166, c_el = 0.012368800927445942, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.746917829608295, c_el = 0.012360319575741005, c_ea = 0.01159787616541452, c_pa = 0.20557522635871056, mu_l = 0.004634141449459607, mu_a = 0.007390437069319952)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[9.136363556907453, 0.014274133307573352, 0.016162055271151318], [6.744839345994716, 0.011594077946489166, 0.012368800927445942], [10.455775338707788, 0.016082439784928192, 0.012909041664633044], [0.004242337560004274, 0.6083407886257187, -0.4255833994073727]]","[[0.035132618339645, 0.1514797529720046], [0.004478144390672245, 0.008442452543818075]]",[[0.20557522635871042]],"[0.9535381140957265, 0.996549874008707, 1.035348708791826]"
1,0.05,3,1,1,1,"(b = 6.747084520909607, c_ea = 0.011598159871620594, c_el = 0.012359867540021765, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.746917829608295, c_el = 0.012360319575741005, c_ea = 0.01159787616541452, c_pa = 0.20557522635871056, mu_l = 0.004634141449459607, mu_a = 0.007390437069319952)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.747084520909607, 0.011598159871620594, 0.012359867540021765]]","[[0.004617948885596316, 0.007373016338241671]]",[[0.20557522635871042]],"[0.9535381140957265, 0.996549874008707, 1.035348708791826]"
1,0.05,4,4,1,2,"(b = 6.746908415042064, c_ea = 0.011597860684172255, c_el = 0.01236033931602941, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.746917829608295, c_el = 0.012360319575741005, c_ea = 0.01159787616541452, c_pa = 0.20557522635871056, mu_l = 0.004634141449459607, mu_a = 0.007390437069319952)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[10.845714868129972, 0.015594257872673895, 0.019195609582375192], [15.660686735561699, 0.019886381017050262, 0.012540195694862546], [6.746908415042064, 0.011597860684172255, 0.01236033931602941], [0.004421142303249679, 0.16510367311783505, -0.0978192034592833]]","[[0.041178987269054806, 0.2468864697677497], [0.0046324878762041884, 0.0074018075799098405]]",[[0.20557522635871042]],"[0.9535381140957265, 0.996549874008707, 1.035348708791826]"
1,0.05,5,1,1,1,"(b = 6.746918233317707, c_ea = 0.011597876817000146, c_el = 0.012360318859853675, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.746917829608295, c_el = 0.012360319575741005, c_ea = 0.01159787616541452, c_pa = 0.20557522635871056, mu_l = 0.004634141449459607, mu_a = 0.007390437069319952)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.746918233317707, 0.011597876817000146, 0.012360318859853675]]","[[0.004634015681106227, 0.007390375961773968]]",[[0.20557522635871042]],"[0.9535381140957265, 0.996549874008707, 1.035348708791826]"
1,0.05,6,4,1,2,"(b = 6.746917815497211, c_ea = 0.011597876142901626, c_el = 0.012360319597973228, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.746917829608295, c_el = 0.012360319575741005, c_ea = 0.01159787616541452, c_pa = 0.20557522635871056, mu_l = 0.004634141449459607, mu_a = 0.007390437069319952)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[12.63544388469418, 0.016840183787637176, 0.021771957012578367], [0.0020193953795974123, 0.14086270608624157, -0.07972158565850031], [6.746917815497211, 0.011597876142901626, 0.012360319597973228], [21.980617062480142, 0.023138115527795586, 0.012498117552881367]]","[[0.04824670150917177, 0.32547513681970847], [0.0046341321900751796, 0.007390495066905877]]",[[0.20557522635871042]],"[0.9535381140957265, 0.996549874008707, 1.035348708791826]"
1,0.05,7,1,1,1,"(b = 6.746917830034968, c_ea = 0.011597876166089061, c_el = 0.012360319575132936, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.746917829608295, c_el = 0.012360319575741005, c_ea = 0.01159787616541452, c_pa = 0.20557522635871056, mu_l = 0.004634141449459607, mu_a = 0.007390437069319952)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.746917830034968, 0.011597876166089061, 0.012360319575132936]]","[[0.004634140912064919, 0.007390437165826018]]",[[0.20557522635871042]],"[0.9535381140957265, 0.996549874008707, 1.035348708791826]"
1,0.05,8,4,1,2,"(b = 6.746917829618566, c_ea = 0.011597876165428875, c_el = 0.012360319575746183, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.746917829608295, c_el = 0.012360319575741005, c_ea = 0.01159787616541452, c_pa = 0.20557522635871056, mu_l = 0.004634141449459607, mu_a = 0.007390437069319952)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.001033319402438413, 0.13733272545057684, -0.07682540730100977], [14.646154694399424, 0.018051589543068222, 0.024223901365136725], [6.746917829618566, 0.011597876165428875, 0.012360319575746183], [30.149288852519277, 0.026207031448511102, 0.012511672930426527]]","[[0.05549228871121923, 0.3863197404287443], [0.004634141418887372, 0.007390437243622033]]",[[0.20557522635871042]],"[0.9535381140957265, 0.996549874008707, 1.035348708791826]"
1,0.05,9,1,1,1,"(b = 6.746917829610246, c_ea = 0.011597876165416911, c_el = 0.012360319575744093, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.746917829608295, c_el = 0.012360319575741005, c_ea = 0.01159787616541452, c_pa = 0.20557522635871056, mu_l = 0.004634141449459607, mu_a = 0.007390437069319952)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.746917829610246, 0.011597876165416911, 0.012360319575744093]]","[[0.0046341414480231555, 0.007390437070394483]]",[[0.20557522635871042]],"[0.9535381140957265, 0.996549874008707, 1.035348708791826]"
1,0.05,10,4,1,2,"(b = 6.746917829637427, c_ea = 0.011597876165456048, c_el = 0.01236031957574754, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.746917829608295, c_el = 0.012360319575741005, c_ea = 0.01159787616541452, c_pa = 0.20557522635871056, mu_l = 0.004634141449459607, mu_a = 0.007390437069319952)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.0005452817849295186, 0.14045850582493224, -0.07876961610715623], [6.746917829637427, 0.011597876165456048, 0.01236031957574754], [40.94933104547973, 0.02919088916322466, 0.012537591538099472], [16.937836591103853, 0.019245766569373872, 0.026621749653994126]]","[[0.06277610993354867, 0.4310248892768666], [0.004634141449393196, 0.00739043706966667]]",[[0.20557522635871042]],"[0.9535381140957265, 0.996549874008707, 1.035348708791826]"
