interval_range,taylor_n,num_solutions,num_real_solutions,pred_parameters,sampled_parameters,sampled_u0
0.05,1,1,1,"Number[2.46618969087609, 0.0022678318022400783, 0.0037594036893251128, 0.0036987344903125904, 0.0074767362744904585, 0.2025723969295681]","[6.922177685679141, 0.011805087020610018, 0.011559973310536108, 0.004523205085433474, 0.20257239692956813, 0.007388621916262129]","[243.77649913409863, 5.107131598914192, 100.84057468444149]"
0.05,1,1,1,"Number[2.4682116194166497, 0.0023724559121213627, 0.003761422144653733, 0.0037084748468754663, 0.0074741970837000965, 0.2044402498090541]","[6.2776613607267455, 0.012295399191706156, 0.011247270490488898, 0.0044866587102363326, 0.20444024980905404, 0.007380984432884273]","[245.93028797607974, 5.125112999091594, 95.83087045703068]"
0.05,1,1,1,"Number[2.496265781421147, 0.002415905622776847, 0.00369261915353945, 0.0038676501423892742, 0.00797397739354898, 0.19546933214243875]","[6.61320165211235, 0.012471237971147417, 0.011846239412729892, 0.00472384280415201, 0.19546933214243875, 0.007877663455187665]","[252.42100069444086, 5.083707516385028, 95.31595560277069]"
0.05,1,1,1,"Number[2.4526421056819627, 0.0023414526276762967, 0.003655497373281778, 0.0036856723385365157, 0.007745398810587159, 0.211846615938151]","[6.428474374543581, 0.011992804892676762, 0.01108625744477991, 0.004504416226570755, 0.21184661593815102, 0.007660389953944664]","[252.61588607162736, 5.070584362841364, 101.03796509602445]"
0.05,1,1,1,"Number[2.36105353263467, 0.0026244792564828713, 0.0036628876000254942, 0.0038024034247863513, 0.007633970451139685, 0.20877432550216826]","[6.273389601482706, 0.012121514741248684, 0.011925416892675334, 0.004643445638690886, 0.20877432550216823, 0.00754018585311813]","[244.75453530072, 5.088401834333007, 97.10267017158858]"
0.05,1,1,1,"Number[2.469664947789266, 0.0022728356564068854, 0.003685396755111881, 0.0037863257610792726, 0.007896795619175261, 0.2087482413597087]","[6.805064516228259, 0.011537680009692176, 0.011158966648209355, 0.004691103239369822, 0.2087482413597087, 0.007813021993393825]","[247.5991679530309, 5.020837030047386, 103.69201806109803]"
0.05,1,1,1,"Number[2.333783069578346, 0.0025875278299838543, 0.003677652068282298, 0.0038050474232312016, 0.007904083970554374, 0.20276934785556672]","[6.462230585384593, 0.011702222951263082, 0.011877032279252521, 0.004688091039022376, 0.20276934785556663, 0.007811691326041053]","[239.22214421816886, 5.150505795098848, 100.71899975328488]"
0.05,1,1,1,"Number[2.384071629064022, 0.0025353881294597706, 0.0035863855840638026, 0.0038561205733916065, 0.007868214515877207, 0.19939017622053098]","[6.627729836927659, 0.011847495308820191, 0.011882420062119821, 0.004776868588455289, 0.19939017622053096, 0.007786579071464548]","[251.0914194324778, 4.86621044205278, 101.57679471476422]"
0.05,1,1,1,"Number[2.592638353565212, 0.0021127953730884874, 0.003732662215118418, 0.0037025312751010563, 0.007615225635519974, 0.20333782273019257]","[6.785328952370797, 0.012195163527871044, 0.011023917973631019, 0.004501547102810393, 0.20333782273019255, 0.007521548290057269]","[256.085459131844, 5.200704875022255, 98.13767042863692]"
0.05,1,1,1,"Number[2.490184174822067, 0.0025121591838523807, 0.0035548043843246766, 0.0037647134186610293, 0.007661869200598279, 0.21274004659821472]","[6.547223000492978, 0.012034377944376739, 0.011865878073048591, 0.0045714804878233635, 0.2127400465982147, 0.007565152752005636]","[260.8175117154735, 5.170128572675525, 95.7524299799303]"
0.05,1,1,1,"Number[2.3688455043165257, 0.0024336851265491194, 0.0035216569539463687, 0.0036702268810976813, 0.007640245473069862, 0.20145102538007423]","[6.407791838970731, 0.012336426464819998, 0.011335778410207185, 0.004518654489872669, 0.20145102538007417, 0.0075557805413666215]","[262.34499717025153, 5.136991261065858, 104.67369694270685]"
0.05,1,1,1,"Number[2.383545865852853, 0.002438578669641823, 0.003509086455214793, 0.0036743871860713028, 0.007792356703232516, 0.20743448182356145]","[6.284167146922109, 0.01192719818438254, 0.011051079868445222, 0.004525549435347985, 0.20743448182356145, 0.007717278463424314]","[261.39861942796176, 4.903324398553163, 104.87775175881977]"
0.05,1,1,1,"Number[2.45553124785066, 0.0025806813648578445, 0.003554299889782829, 0.0037500270097247184, 0.007698295426146415, 0.21387958428892775]","[6.396930005161265, 0.01211673082951298, 0.011951098249600292, 0.004539799416553373, 0.2138795842889277, 0.007614932640337983]","[259.29861680591597, 4.853382731673665, 95.0895913383954]"
0.05,1,1,1,"Number[2.536748149175942, 0.0020952694353877344, 0.0038164645449520087, 0.0037166108484415626, 0.007357022114293808, 0.1987509803889897]","[6.897897823821873, 0.012008704861879983, 0.011116751557403961, 0.0045427197813929215, 0.19875098038898967, 0.007273729857418287]","[246.2398607288382, 4.947020931412107, 100.15437730349032]"
0.05,1,1,1,"Number[2.4360213511164215, 0.0022312161511083206, 0.0038297755518625874, 0.003687301132247669, 0.008010483723579079, 0.20177646718152317]","[6.539447329967729, 0.012693335106252758, 0.011256214186594104, 0.004496998461824534, 0.20177646718152326, 0.007933087768452108]","[243.65305601040475, 4.8786452875611594, 100.23266921460144]"
