sim_num,interval_range,taylor_n,L_num_real_solutions,P_num_real_solutions,A_num_real_solutions,pred_parameters,sampled_parameters,param_intevals,L_all_real_solutions,P_all_real_solutions,A_all_real_solutions,offmul
1,0.05,2,4,1,2,"(b = 6.866208040752311, c_ea = 0.011431631310864596, c_el = 0.011552348763495915, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.860693558165616, c_el = 0.011561406427880078, c_ea = 0.011422703280116133, c_pa = 0.21096342613867483, mu_l = 0.004551171818789968, mu_a = 0.00794158932215175)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.866208040752311, 0.011431631310864596, 0.011552348763495915], [12.95900646059042, 0.019035750377167274, 0.011118127641784928], [9.39271996052906, 0.013636776705186747, 0.01941178417856183], [1.0031891984157615, 0.0592195121388215, -0.01883196575095678]]","[[0.03367491237840231, 0.1350147527490181], [0.004441627527741283, 0.008841419090361463]]",[[0.2109634261386748]],"[1.0470980283156708, 0.9669751959674537, 0.9680123554525786]"
2,0.05,2,4,1,2,"(b = 6.650206394670764, c_ea = 0.010999071918893655, c_el = 0.01244666729554406, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.650416619436996, c_el = 0.01244689241013829, c_ea = 0.010999370853827586, c_pa = 0.20283438126683165, mu_l = 0.004616039811256398, mu_a = 0.007868870756219937)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.650206394670764, 0.010999071918893655, 0.01244666729554406], [12.202333042054653, 0.01770199541751596, 0.01240108488388971], [0.6447323628699161, 0.06824731471661147, -0.02455771306327085], [9.331165066987271, 0.013795784134731868, 0.018517413803816656]]","[[0.0338082156968662, 0.1366791236681006], [0.0045044886499757434, 0.008796990464522175]]",[[0.2028343812668316]],"[1.0470980283156708, 0.9669751959674537, 0.9680123554525786]"
3,0.05,2,4,1,2,"(b = 6.522856439665781, c_ea = 0.011478862782961601, c_el = 0.012261300336153023, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.52270590809023, c_el = 0.012261524670827815, c_ea = 0.011478580071256073, c_pa = 0.20631170488904352, mu_l = 0.004484938706756513, mu_a = 0.0077724029538923526)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[11.388138995420194, 0.017684130318609395, 0.012148629155008554], [8.74137959058365, 0.013804070878872874, 0.018698788433883673], [0.216361568918048, 0.10107797105225695, -0.05119604938352728], [6.522856439665781, 0.011478862782961601, 0.012261300336153023]]","[[0.03384325239167652, 0.13657089341074324], [0.004367438435836159, 0.008672594291460651]]",[[0.2063117048890436]],"[1.0470980283156708, 0.9669751959674537, 0.9680123554525786]"
4,0.05,2,4,1,2,"(b = 6.531700985858525, c_ea = 0.012077734482288468, c_el = 0.011744384641864324, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.531154837006256, c_el = 0.011746440472616223, c_ea = 0.012075697152474571, c_pa = 0.21414593463018072, mu_l = 0.004779988045289969, mu_a = 0.007442414529944593)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.20759505904227302, 0.10128343804174261, -0.05313835172579957], [8.347020296083144, 0.0138009070796752, 0.019174404352489665], [6.531700985858525, 0.012077734482288468, 0.011744384641864324], [11.07501473597475, 0.018209686189245827, 0.011465297002206814]]","[[0.033363680696796544, 0.13169005933739816], [0.00468677668743219, 0.008381217468624226]]",[[0.21414593463018078]],"[1.0470980283156708, 0.9669751959674537, 0.9680123554525786]"
5,0.05,2,4,1,2,"(b = 6.839320628781287, c_ea = 0.011365915159564388, c_el = 0.012026141501238928, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.838146341273499, c_el = 0.012027797201228761, c_ea = 0.011364059036422245, c_pa = 0.21365138468327152, mu_l = 0.00457093486638416, mu_a = 0.007596682465214288)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[12.493839571893965, 0.01825755420468024, 0.011795738497238112], [0.7862038790152307, 0.06385399001901369, -0.021839577812929847], [9.238317348472382, 0.013629027489598385, 0.019021994824524248], [6.839320628781287, 0.011365915159564388, 0.012026141501238928]]","[[0.03357746720214801, 0.13361806554566588], [0.00446481910923792, 0.008493684971768122]]",[[0.2136513846832716]],"[1.0470980283156708, 0.9669751959674537, 0.9680123554525786]"
6,0.05,2,4,1,2,"(b = 6.316485315813067, c_ea = 0.011886897632906238, c_el = 0.011895712700775949, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.316044606661832, c_el = 0.011896982247255326, c_ea = 0.011885601639794251, c_pa = 0.2017056334772111, mu_l = 0.0047123411309359054, mu_a = 0.00749861494536406)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[10.78829607949986, 0.018002049573978895, 0.011667709380329265], [8.274181129943187, 0.013932812166185202, 0.018946532954599568], [6.316485315813067, 0.011886897632906238, 0.011895712700775949], [0.08927037794735214, 0.14243634128947683, -0.08618579802096277]]","[[0.004606229813275004, 0.008446703692292435], [0.03373027609107491, 0.1357141075733063]]",[[0.20170563347721118]],"[1.0470980283156708, 0.9669751959674537, 0.9680123554525786]"
7,0.05,2,4,1,2,"(b = 6.616855457480308, c_ea = 0.012079733877777683, c_el = 0.011980742963345099, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.616946131322437, c_el = 0.011981530646482226, c_ea = 0.012078663406215683, c_pa = 0.21440643333873152, mu_l = 0.004478086967346183, mu_a = 0.007775094308376778)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[6.616855457480308, 0.012079733877777683, 0.011980742963345099], [0.09408221301798764, 0.14077044894102222, -0.08435762081242247], [8.280017785490736, 0.01364811153608945, 0.019082264312081737], [10.913047605449343, 0.01774576108547953, 0.011795524031352473]]","[[0.004366504842061381, 0.00865607505368926], [0.03365344986710633, 0.13436974457518674]]",[[0.2144064333387316]],"[1.0470980283156708, 0.9669751959674537, 0.9680123554525786]"
8,0.05,2,4,1,2,"(b = 6.823975633192824, c_ea = 0.011390873161379978, c_el = 0.011743072092359105, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.820626000406452, c_el = 0.0117483273767662, c_ea = 0.011385475273970175, c_pa = 0.2103718123859687, mu_l = 0.00490301294185855, mu_a = 0.007718326857587887)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[9.369132979351331, 0.013726891766921198, 0.019189520970070612], [6.823975633192824, 0.011390873161379978, 0.011743072092359105], [12.81664172034586, 0.018861629077291626, 0.011362583104150767], [1.2161985885996602, 0.05515140383355673, -0.015235151159755373]]","[[0.03335104914685335, 0.13220222901282086], [0.004813992118483097, 0.008695634639215237]]",[[0.2103718123859688]],"[1.0470980283156708, 0.9669751959674537, 0.9680123554525786]"
9,0.05,2,4,1,2,"(b = 6.457152579716734, c_ea = 0.011924643053373691, c_el = 0.011602434236155791, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.454289282170006, c_el = 0.011606657023307845, c_ea = 0.011919373615660391, c_pa = 0.2151243571223031, mu_l = 0.004769417300896021, mu_a = 0.0074614848432097616)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[11.322894681224161, 0.01854295095526336, 0.011256937479910615], [0.2941829289540395, 0.08867433006790111, -0.04317645835367819], [8.501062676999515, 0.013900804461204667, 0.019216691609632706], [6.457152579716734, 0.011924643053373691, 0.011602434236155791]]","[[0.03335067876018401, 0.13152935832194498], [0.004676265660263718, 0.008395991255606921]]",[[0.21512435712230318]],"[1.0470980283156708, 0.9669751959674537, 0.9680123554525786]"
10,0.05,2,4,1,2,"(b = 6.614469590555712, c_ea = 0.011136458308679625, c_el = 0.012202485193664967, mu_l = 0.0, c_pa = 0.0, mu_a = 0.0)","(b = 6.6142466582117905, c_el = 0.012203512166106994, c_ea = 0.011136026944393052, c_pa = 0.19938401714437842, mu_l = 0.004481100504428925, mu_a = 0.007882234394924253)","(b = RealInterval{Float64}(6.2681, 6.9279), c_el = RealInterval{Float64}(0.0114855, 0.012694500000000001), c_ea = RealInterval{Float64}(0.0109725, 0.0121275), c_pa = RealInterval{Float64}(0.19522499999999998, 0.215775), mu_l = RealInterval{Float64}(0.004465, 0.004935), mu_a = RealInterval{Float64}(0.00724755, 0.00801045))","[[0.4945884411449675, 0.07501521431001246, -0.030447043804319934], [12.182538285888514, 0.017991344471479535, 0.012050247898274285], [9.21106860302553, 0.01378870045736951, 0.01874766804281782], [6.614469590555712, 0.011136458308679625, 0.012202485193664967]]","[[0.004357642294458127, 0.008798248999069138], [0.03401959848403598, 0.1387115078153732]]",[[0.1993840171443784]],"[1.0470980283156708, 0.9669751959674537, 0.9680123554525786]"
