interval_range,taylor_n,num_solutions,num_real_solutions,pred_parameters,sampled_parameters,sampled_u0
0.05,1,1,1,"Number[2.2337909946215286, 0.0019420131496073294, 0.0031308339578009826, 0.0036445954995816274, 0.007848844738676234, 0.21195758769009512]","[6.550427959697422, 0.012019467155303897, 0.011935812675575443, 0.00454825889290259, 0.21195758769009512, 0.007742582754463489]","[242.5924050936769, 5.226422189647449, 98.63452005787646]"
0.05,1,1,1,"Number[2.2975780238859116, 0.0016825746573013757, 0.003185516172418582, 0.0036828960152541406, 0.0074254073536864015, 0.20651736373650698]","[6.918444814229123, 0.01222572513679016, 0.011607648211261874, 0.004642689628558513, 0.20651736373650698, 0.007338804296864675]","[245.8516830032287, 4.783292318206352, 101.64461136376173]"
0.05,1,1,1,"Number[2.193921388367708, 0.001981806005113132, 0.0029682775898714703, 0.0036651488067378705, 0.0074092999590155304, 0.20474579317845099]","[6.536329730879267, 0.012374925683875012, 0.01197405552812152, 0.0046242946783341485, 0.20474579317845096, 0.007305958015197596]","[256.27320605286724, 5.182804646421982, 102.20801468033967]"
0.05,1,1,1,"Number[2.349624649397804, 0.0018229940187666897, 0.0029675854979479446, 0.0037959839329370576, 0.007843582920194173, 0.2004387994953953]","[6.487939110032733, 0.011860793310901249, 0.011226729213450132, 0.004801021307934992, 0.2004387994953954, 0.007743085862738519]","[262.2203463822376, 5.006241743257537, 99.61316676808099]"
0.05,1,1,1,"Number[2.2403366481962026, 0.0018748107727127148, 0.0029637228859007137, 0.0037231501205574158, 0.0074823659869029105, 0.1980186930129288]","[6.892960842508481, 0.01261957433167363, 0.012082139165238164, 0.004732761440120004, 0.1980186930129287, 0.007375948661682171]","[261.0127914040281, 5.2304771737236955, 103.29133362143817]"
0.05,1,1,1,"Number[2.1953961921084058, 0.0019832801787919, 0.0029236769138284878, 0.003686648446157769, 0.0079206191562456, 0.19686177437823482]","[6.528463310770748, 0.012165713330537703, 0.011900846868197364, 0.004667278811741513, 0.1968617743782348, 0.00782655638510092]","[259.4410969895351, 5.027964500491962, 103.01985771635889]"
0.05,1,1,1,"Number[2.2788461453041022, 0.0015892916667088167, 0.003184119181103799, 0.003618715144789119, 0.008050456665551818, 0.20308866972969886]","[6.872131680429165, 0.012581806808435056, 0.011337903665834613, 0.004570234533150868, 0.20308866972969883, 0.007960263013720142]","[249.48903248819997, 5.024947376639259, 104.11445896293236]"
0.05,1,1,1,"Number[2.3576164232231, 0.001929792750099765, 0.003017697162543208, 0.003785691142448576, 0.008024902926156511, 0.203411913040956]","[6.71819722341036, 0.011619230490719428, 0.012001706386115536, 0.00472896725557338, 0.203411913040956, 0.007917974583463258]","[254.85536915095858, 5.072770774510079, 95.31776968795216]"
0.05,1,1,1,"Number[2.4006712080414765, 0.0016297163049648882, 0.003218222910297504, 0.0036387793977418637, 0.007892326786867252, 0.19917463676750558]","[6.8078992271267875, 0.011740395830772625, 0.011331148577594607, 0.004512407360373005, 0.19917463676750555, 0.007799951330500156]","[245.2519575933557, 4.894852835757201, 96.5831644292177]"
0.05,1,1,1,"Number[2.2940499406829273, 0.0017229099089583718, 0.003080861927859513, 0.003648264269902378, 0.007742646451335515, 0.21090628955995663]","[6.640245680343058, 0.012119832893294092, 0.011228077341610812, 0.00460186639340444, 0.21090628955995663, 0.00763936147402863]","[253.44714093938822, 5.233433100652112, 102.60524564727723]"
0.05,1,1,1,"Number[2.2848190008743985, 0.002021235116722955, 0.0029184249587464565, 0.0038631093490309547, 0.007488270907005823, 0.210691328815401]","[6.309164025484624, 0.011537496528551051, 0.011468180233158131, 0.004907983374435334, 0.210691328815401, 0.007393424617525753]","[258.3967197482412, 4.801618245644921, 99.5156858108224]"
