data_set_num,interval_range,taylor_n,num_solutions,num_real_solutions,pred_parameters,sampled_parameters,sampled_u0
1,0.05,1,1,1,"[6.596308685036832, 0.011549699053333234, 0.01205634028524136]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
2,0.05,1,1,1,"[6.5963086850368295, 0.011549699053333232, 0.01205634028524136]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
3,0.05,1,1,1,"[6.59630868503683, 0.01154969905333323, 0.01205634028524136]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
4,0.05,1,1,1,"[6.596308685036836, 0.01154969905333324, 0.012056340285241359]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
5,0.05,1,1,1,"[6.596308685036831, 0.011549699053333232, 0.012056340285241362]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
6,0.05,1,1,1,"[6.596308685036835, 0.011549699053333239, 0.01205634028524136]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
7,0.05,1,1,1,"[6.5963086850368295, 0.011549699053333232, 0.01205634028524136]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
8,0.05,1,1,1,"[6.596308685036831, 0.011549699053333234, 0.012056340285241359]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
9,0.05,1,1,1,"[6.596308685036832, 0.011549699053333234, 0.01205634028524136]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
10,0.05,1,1,1,"[6.596308685036832, 0.011549699053333234, 0.01205634028524136]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
1,0.05,2,4,4,"[6.597851310514783, 0.011549614494807426, 0.012091733942123147]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
2,0.05,2,4,4,"[6.597851310514758, 0.011549614494807384, 0.012091733942123168]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
3,0.05,2,4,4,"[6.597851310514824, 0.011549614494807483, 0.012091733942123132]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
4,0.05,2,4,4,"[6.597851310514792, 0.011549614494807434, 0.012091733942123142]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
5,0.05,2,4,4,"[6.59785131051478, 0.011549614494807417, 0.012091733942123135]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
6,0.05,2,4,4,"[6.597851310514793, 0.011549614494807434, 0.012091733942123144]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
7,0.05,2,4,4,"[6.597851310514749, 0.01154961449480737, 0.012091733942123168]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
8,0.05,2,4,4,"[6.597851310514785, 0.011549614494807422, 0.012091733942123147]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
9,0.05,2,4,4,"[6.597851310514812, 0.011549614494807467, 0.01209173394212314]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
10,0.05,2,4,4,"[6.597851310514782, 0.01154961449480742, 0.012091733942123158]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
1,0.05,3,9,1,"[6.598011326241033, 0.01155002234192742, 0.012089943398392563]","[6.476071647142685, 0.011767277251241067, 0.011243813382728273, 0.004715849906473073, 0.2011880208428853, 0.0075818892741911425]","[250.0, 5.0, 100.0]"
