sim_num,interval_range,taylor_n,L_num_real_solutions,L_pred_parameters,L_all_real_solutions,A_num_real_solutions,A_pred_parameters,A_all_real_solutions,sampled_parameters,offmul
1,0.05,1,1,"[6.487955071317672, 0.011805009471849063, 0.012309589895461033]","[[6.487955071317672, 0.011805009471849063, 0.012309589895461033]]",1,"[0.0034831980391949557, 0.008943124750842978]","[[0.0034831980391949557, 0.008943124750842978]]","[6.55522290641174, 0.012320964413678834, 0.011938286450278354, 0.004676795605196733, 0.19684271433775033, 0.007295527799455498]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
1,0.05,2,4,"[6.565778651537024, 0.011955473479055, 0.012321868277342128]","[[8.783307816278105e-5, 3.88725409661332, -2.9892949926320767], [6.565778651537024, 0.011955473479055, 0.012321868277342128], [7.9882648901281055, 0.013421391895336667, 0.017943316199978642], [9.893198329754345, 0.016343987579072898, 0.01240457214057282]]",2,,"[[0.00455160568837421, 0.00828117607938547], [0.034291519155547165, 0.14179321571617787]]","[6.55522290641174, 0.012320964413678834, 0.011938286450278354, 0.004676795605196733, 0.19684271433775033, 0.007295527799455498]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
1,0.05,3,1,"[6.5545808805825505, 0.011937298430375986, 0.012320929236437945]","[[6.5545808805825505, 0.011937298430375986, 0.012320929236437945]]",1,"[0.004664982610655563, 0.007260435038506297]","[[0.004664982610655563, 0.007260435038506297]]","[6.55522290641174, 0.012320964413678834, 0.011938286450278354, 0.004676795605196733, 0.19684271433775033, 0.007295527799455498]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
1,0.05,4,4,"[6.555253899515162, 0.011938333177240457, 0.012320965572700866]","[[14.755357873171087, 0.019967206250687167, 0.012410326554612699], [9.813265059845712, 0.015170528458333853, 0.020304075144187993], [0.0001446891825253813, 0.35126264014856495, -0.24502377158238822], [6.555253899515162, 0.011938333177240457, 0.012320965572700866]]",2,"[0.00467564470484192, 0.007305694793347043]","[[0.04046423076068319, 0.22672974555309142], [0.00467564470484192, 0.007305694793347043]]","[6.55522290641174, 0.012320964413678834, 0.011938286450278354, 0.004676795605196733, 0.19684271433775033, 0.007295527799455498]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
1,0.05,5,1,"[6.5552217019977, 0.011938284648609776, 0.01232096438052727]","[[6.5552217019977, 0.011938284648609776, 0.01232096438052727]]",1,"[0.004676717853551847, 0.007295279714297371]","[[0.004676717853551847, 0.007295279714297371]]","[6.55522290641174, 0.012320964413678834, 0.011938286450278354, 0.004676795605196733, 0.19684271433775033, 0.007295527799455498]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
1,0.05,6,4,"[6.555222946003419, 0.011938286509321024, 0.012320964414547853]","[[2.050955549140406e-5, 0.2755438606203146, -0.18619231702472605], [11.669006762397958, 0.016649282148942873, 0.02264917180882201], [20.689762438850074, 0.023179358853654637, 0.012435257874208183], [6.555222946003419, 0.011938286509321024, 0.012320964414547853]]",2,"[0.004676790095205614, 0.007295576516584074]","[[0.004676790095205614, 0.007295576516584074], [0.04755578022912988, 0.294521894292965]]","[6.55522290641174, 0.012320964413678834, 0.011938286450278354, 0.004676795605196733, 0.19684271433775033, 0.007295527799455498]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
1,0.05,7,1,"[6.555222905284217, 0.011938286448599227, 0.012320964413653412]","[[6.555222905284217, 0.011938286448599227, 0.012320964413653412]]",1,"[0.004676795324246003, 0.007295526921230102]","[[0.004676795324246003, 0.007295526921230102]]","[6.55522290641174, 0.012320964413678834, 0.011938286450278354, 0.004676795605196733, 0.19684271433775033, 0.007295527799455498]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
1,0.05,8,4,"[6.555222906440093, 0.011938286450319548, 0.012320964413690672]","[[13.749713170893157, 0.018045507343407482, 0.024958906846654434], [6.555222906440093, 0.011938286450319548, 0.012320964413690672], [28.364242219400513, 0.026236536872626434, 0.012464079539816606], [4.045724182085682e-6, 0.25257463720367945, -0.1682441613474292]]",2,"[0.00467679558967945, 0.007295527935307173]","[[0.054805259932122714, 0.34545882976661824], [0.00467679558967945, 0.007295527935307173]]","[6.55522290641174, 0.012320964413678834, 0.011938286450278354, 0.004676795605196733, 0.19684271433775033, 0.007295527799455498]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
1,0.05,9,1,"[6.555222906401633, 0.011938286450262861, 0.012320964413683194]","[[6.555222906401633, 0.011938286450262861, 0.012320964413683194]]",1,"[0.004676795604561176, 0.0072955277975530995]","[[0.004676795604561176, 0.0072955277975530995]]","[6.55522290641174, 0.012320964413678834, 0.011938286450278354, 0.004676795605196733, 0.19684271433775033, 0.007295527799455498]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
1,0.05,10,4,"[6.555222906430202, 0.011938286450305874, 0.012320964413678675]","[[38.505064640545555, 0.02921406217746928, 0.012493398873656593], [6.555222906430202, 0.011938286450305874, 0.012320964413678675], [16.137482033628515, 0.01940527841054616, 0.02724648287393207], [1.043193697070401e-6, 0.24424778434020142, -0.16160658773398845]]",2,"[0.004676795605168008, 0.007295527799703265]","[[0.06208811793056888, 0.3817564360728708], [0.004676795605168008, 0.007295527799703265]]","[6.55522290641174, 0.012320964413678834, 0.011938286450278354, 0.004676795605196733, 0.19684271433775033, 0.007295527799455498]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
2,0.05,1,1,"[6.884537874821672, 0.011410440066684836, 0.012619106056240668]","[[6.884537874821672, 0.011410440066684836, 0.012619106056240668]]",1,"[0.003658965849262515, 0.008640205018601714]","[[0.003658965849262515, 0.008640205018601714]]","[6.919809586938605, 0.012662190764051052, 0.01146580801962533, 0.0047446711621656965, 0.2069188393638104, 0.007639399975947895]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
2,0.05,2,4,"[6.923935245672478, 0.011471553563723395, 0.012665353013692775]","[[10.724002003650098, 0.016061323062112023, 0.012916724648241599], [8.653428470491386, 0.013232893191984717, 0.017736871371310515], [6.923935245672478, 0.011471553563723395, 0.012665353013692775], [0.17836488892988447, 0.11037016426771151, -0.05583562890164428]]",2,,"[[0.03399131161621446, 0.13884242964042995], [0.004632169827127274, 0.008614946266551815]]","[6.919809586938605, 0.012662190764051052, 0.01146580801962533, 0.0047446711621656965, 0.2069188393638104, 0.007639399975947895]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
2,0.05,3,1,"[6.9195925339079025, 0.01146551049129205, 0.012662064770041805]","[[6.9195925339079025, 0.01146551049129205, 0.012662064770041805]]",1,"[0.004734652197349617, 0.007593928391056761]","[[0.004734652197349617, 0.007593928391056761]]","[6.919809586938605, 0.012662190764051052, 0.01146580801962533, 0.0047446711621656965, 0.2069188393638104, 0.007639399975947895]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
2,0.05,4,4,"[6.919818583437357, 0.011465820377599967, 0.012662194838769136]","[[16.026959371545445, 0.019762201241835385, 0.012789175021709998], [0.07382577252070813, 0.09030708805936948, -0.040879816006512935], [10.21905473451882, 0.014568503773916127, 0.02047920282345609], [6.919818583437357, 0.011465820377599967, 0.012662194838769136]]",2,"[0.004743705755730152, 0.007649475985536776]","[[0.004743705755730152, 0.007649475985536776], [0.04023158077073263, 0.2207788610806332]]","[6.919809586938605, 0.012662190764051052, 0.01146580801962533, 0.0047446711621656965, 0.2069188393638104, 0.007639399975947895]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
2,0.05,5,1,"[6.919809284840784, 0.01146580760276006, 0.012662190654903786]","[[6.919809284840784, 0.01146580760276006, 0.012662190654903786]]",1,"[0.004744610817416495, 0.007639049772001043]","[[0.004744610817416495, 0.007639049772001043]]","[6.919809586938605, 0.012662190764051052, 0.01146580801962533, 0.0047446711621656965, 0.2069188393638104, 0.007639399975947895]","[1.0093743772469668, 0.9547234004043689, 0.987631680838991, 0.9667219761841788, 0.9806959840745533, 0.9703350261625525]"
