sim_num,interval_range,taylor_n,L_num_real_solutions,A_num_real_solutions,sampled_parameters,pred_parameters,L_all_real_solutions,A_all_real_solutions,offmul
1,0.05,1,1,1,"(b = 6.577649070870482, c_el = 0.012004396009800926, c_ea = 0.010984782565467572, c_pa = 0.19925241705796376, mu_l = 0.0045856922612262496, mu_a = 0.007987107455684577)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[5.29049819669684, 0.008401263288812149, 0.011732491572095183]]","[[0.02301783801509113, -0.0543729184228941]]","[1.0472850669410985, 0.9946448196749802, 1.026664726757393]"
1,0.05,2,2,0,"(b = 6.577649070870482, c_el = 0.012004396009800926, c_ea = 0.010984782565467572, c_pa = 0.19925241705796376, mu_l = 0.0045856922612262496, mu_a = 0.007987107455684577)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[6.428280581913441, 0.010753175015381927, 0.011997485353813396], [13.37343957999788, 0.01963985980329186, 0.011528157979532558]]",Vector{Float64}[],"[1.0472850669410985, 0.9946448196749802, 1.026664726757393]"
1,0.05,3,1,1,"(b = 6.577649070870482, c_el = 0.012004396009800926, c_ea = 0.010984782565467572, c_pa = 0.19925241705796376, mu_l = 0.0045856922612262496, mu_a = 0.007987107455684577)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[6.567199560498576, 0.010968779992855615, 0.012004130248368647]]","[[0.029897176563582838, -0.08548796793875403]]","[1.0472850669410985, 0.9946448196749802, 1.026664726757393]"
1,0.05,4,2,0,"(b = 6.577649070870482, c_el = 0.012004396009800926, c_ea = 0.010984782565467572, c_pa = 0.19925241705796376, mu_l = 0.0045856922612262496, mu_a = 0.007987107455684577)","(b = 6.57708950376244, c_ea = 0.010983926067699918, c_el = 0.012004385576156748, mu_l = missing, c_pa = missing, mu_a = missing)","[[25.55941606347474, 0.026931915144669055, 0.011274442837450329], [6.57708950376244, 0.010983926067699918, 0.012004385576156748]]",Vector{Float64}[],"[1.0472850669410985, 0.9946448196749802, 1.026664726757393]"
1,0.05,5,1,1,"(b = 6.577649070870482, c_el = 0.012004396009800926, c_ea = 0.010984782565467572, c_pa = 0.19925241705796376, mu_l = 0.0045856922612262496, mu_a = 0.007987107455684577)","(b = 6.577625580559804, c_ea = 0.010984746603856786, c_el = 0.012004395657130141, mu_l = missing, c_pa = missing, mu_a = missing)","[[6.577625580559804, 0.010984746603856786, 0.012004395657130141]]","[[0.03687244035526163, -0.09647142564690266]]","[1.0472850669410985, 0.9946448196749802, 1.026664726757393]"
2,0.05,1,1,1,"(b = 6.765686427137902, c_el = 0.011675211448628825, c_ea = 0.011675858289516174, c_pa = 0.2081264918681938, mu_l = 0.0047764778562196086, mu_a = 0.0072749157747508736)","(b = missing, c_ea = missing, c_el = missing, mu_l = missing, c_pa = missing, mu_a = missing)","[[3.4130446636673066, 0.001987891593199699, 0.010503557111142906]]","[[0.022998298424784677, -0.054989741001036506]]","[1.0472850669410985, 0.9946448196749802, 1.026664726757393]"
2,0.05,2,2,0,"(b = 6.765686427137902, c_el = 0.011675211448628825, c_ea = 0.011675858289516174, c_pa = 0.2081264918681938, mu_l = 0.0047764778562196086, mu_a = 0.0072749157747508736)","(b = 6.336718179586866, c_ea = 0.011017150455098728, c_el = 0.011662677585204582, mu_l = missing, c_pa = missing, mu_a = missing)","[[6.336718179586866, 0.011017150455098728, 0.011662677585204582], [11.675023387690134, 0.017794414577631316, 0.011439303715396257]]",Vector{Float64}[],"[1.0472850669410985, 0.9946448196749802, 1.026664726757393]"
2,0.05,3,1,1,"(b = 6.765686427137902, c_el = 0.011675211448628825, c_ea = 0.011675858289516174, c_pa = 0.2081264918681938, mu_l = 0.0047764778562196086, mu_a = 0.0072749157747508736)","(b = 6.742213572594095, c_ea = 0.011640884782755795, c_el = 0.011674901589206706, mu_l = missing, c_pa = missing, mu_a = missing)","[[6.742213572594095, 0.011640884782755795, 0.011674901589206706]]","[[0.029868813674098126, -0.08586390531269333]]","[1.0472850669410985, 0.9946448196749802, 1.026664726757393]"
2,0.05,4,2,0,"(b = 6.765686427137902, c_el = 0.011675211448628825, c_ea = 0.011675858289516174, c_pa = 0.2081264918681938, mu_l = 0.0047764778562196086, mu_a = 0.0072749157747508736)","(b = 6.764488052224184, c_ea = 0.011674075314394412, c_el = 0.011675199071996697, mu_l = missing, c_pa = missing, mu_a = missing)","[[6.764488052224184, 0.011674075314394412, 0.011675199071996697], [23.826782189586563, 0.025837051919218396, 0.011152723714511916]]",Vector{Float64}[],"[1.0472850669410985, 0.9946448196749802, 1.026664726757393]"
2,0.05,5,1,1,"(b = 6.765686427137902, c_el = 0.011675211448628825, c_ea = 0.011675858289516174, c_pa = 0.2081264918681938, mu_l = 0.0047764778562196086, mu_a = 0.0072749157747508736)","(b = 6.765636454629317, c_ea = 0.011675783937052797, c_el = 0.011675211005077199, mu_l = missing, c_pa = missing, mu_a = missing)","[[6.765636454629317, 0.011675783937052797, 0.011675211005077199]]","[[0.03682997176349283, -0.09648977433215727]]","[1.0472850669410985, 0.9946448196749802, 1.026664726757393]"
