sim_num,interval_range,taylor_n,L_num_real_solutions,L_pred_parameters,L_all_real_solutions,A_num_real_solutions,A_pred_parameters,A_all_real_solutions,sampled_parameters,offmul
1,0.05,1,1,"[6.298702796752907, 0.011570094812231441, 0.012406487467291139]","[[6.298702796752907, 0.011570094812231441, 0.012406487467291139]]",1,"[0.0038487344805241703, 0.007623216596959462]","[[0.0038487344805241703, 0.007623216596959462]]","[6.336286190615259, 0.012524490355859171, 0.011629429895734168, 0.00476628285150933, 0.20553803500703263, 0.007495771828416211]","[0.9653669171874414, 0.9672882004332933, 0.9552875414987372, 0.9684821370930188, 0.9532953877455191, 1.0264351552979996]"
1,0.05,2,4,"[6.341427249559311, 0.011636339911878462, 0.012539833542115365]","[[8.248663934860588, 0.013960396330943965, 0.016279876830565605], [0.019655332108576545, -0.2365479461493366, 0.20389849777214958], [9.338292041749195, 0.015607453505186778, 0.013026511450374683], [6.341427249559311, 0.011636339911878462, 0.012539833542115365]]",2,,"[[0.033320304149418355, 0.13129090953487166], [0.004673620641992207, 0.008429173191036582]]","[6.336286190615259, 0.012524490355859171, 0.011629429895734168, 0.00476628285150933, 0.20553803500703263, 0.007495771828416211]","[0.9653669171874414, 0.9672882004332933, 0.9552875414987372, 0.9684821370930188, 0.9532953877455191, 1.0264351552979996]"
1,0.05,3,1,"[6.335979758363484, 0.01162903444379627, 0.01252353530130881]","[[6.335979758363484, 0.01162903444379627, 0.01252353530130881]]",1,"[0.004758821479426639, 0.007440086954903628]","[[0.004758821479426639, 0.007440086954903628]]","[6.336286190615259, 0.012524490355859171, 0.011629429895734168, 0.00476628285150933, 0.20553803500703263, 0.007495771828416211]","[0.9653669171874414, 0.9672882004332933, 0.9552875414987372, 0.9684821370930188, 0.9532953877455191, 1.0264351552979996]"
1,0.05,4,4,"[6.33630107602934, 0.011629448647816246, 0.012524540530071534]","[[14.092332243041385, 0.01950371687148344, 0.012698736443565247], [6.33630107602934, 0.011629448647816246, 0.012524540530071534], [10.070273098782335, 0.015603776241327662, 0.019112965328097746], [4.763340575613306e-5, 0.4560997322270636, -0.32062156240782386]]",2,"[0.00476557835209714, 0.0075052675373340535]","[[0.03965887682637981, 0.20561892181891242], [0.00476557835209714, 0.0075052675373340535]]","[6.336286190615259, 0.012524490355859171, 0.011629429895734168, 0.00476628285150933, 0.20553803500703263, 0.007495771828416211]","[0.9653669171874414, 0.9672882004332933, 0.9552875414987372, 0.9684821370930188, 0.9532953877455191, 1.0264351552979996]"
1,0.05,5,1,"[6.3362855986250315, 0.011629429166636925, 0.012524488177615043]","[[6.3362855986250315, 0.011629429166636925, 0.012524488177615043]]",1,"[0.00476624473941318, 0.007495330745785633]","[[0.00476624473941318, 0.007495330745785633]]","[6.336286190615259, 0.012524490355859171, 0.011629429895734168, 0.00476628285150933, 0.20553803500703263, 0.007495771828416211]","[0.9653669171874414, 0.9672882004332933, 0.9552875414987372, 0.9684821370930188, 0.9532953877455191, 1.0264351552979996]"
1,0.05,6,4,"[6.336286210609221, 0.011629429919726134, 0.0125244904368037]","[[3.60470519693478e-5, 0.25191702789184245, -0.16593811529206062], [19.87421653781536, 0.022806489448240243, 0.01265656829891935], [11.944568874071866, 0.017058014668597944, 0.02158593138092876], [6.336286210609221, 0.011629429919726134, 0.0125244904368037]]",2,"[0.004766280091513439, 0.007495816977312241]","[[0.04679187804902588, 0.26313035707892957], [0.004766280091513439, 0.007495816977312241]]","[6.336286190615259, 0.012524490355859171, 0.011629429895734168, 0.00476628285150933, 0.20553803500703263, 0.007495771828416211]","[0.9653669171874414, 0.9672882004332933, 0.9552875414987372, 0.9684821370930188, 0.9532953877455191, 1.0264351552979996]"
1,0.05,7,1,"[6.3362861900339675, 0.011629429895060545, 0.012524490353221018]","[[6.3362861900339675, 0.011629429895060545, 0.012524490353221018]]",1,"[0.004766282746004464, 0.007495770066486345]","[[0.004766282746004464, 0.007495770066486345]]","[6.336286190615259, 0.012524490355859171, 0.011629429895734168, 0.00476628285150933, 0.20553803500703263, 0.007495771828416211]","[0.9653669171874414, 0.9672882004332933, 0.9552875414987372, 0.9684821370930188, 0.9532953877455191, 1.0264351552979996]"
1,0.05,8,4,"[6.336286190621661, 0.01162942989573707, 0.012524490355938668]","[[6.336286190621661, 0.01162942989573707, 0.012524490355938668], [27.3559835002893, 0.02591166266374262, 0.012669213772584863], [14.060118802628304, 0.018451276061652092, 0.023948568857750877], [1.7477645393178057e-5, 0.2128777656747983, -0.13623836619294502]]",2,"[0.004766282845119268, 0.007495771954211688]","[[0.054057153829853946, 0.3051261653785661], [0.004766282845119268, 0.007495771954211688]]","[6.336286190615259, 0.012524490355859171, 0.011629429895734168, 0.00476628285150933, 0.20553803500703263, 0.007495771828416211]","[0.9653669171874414, 0.9672882004332933, 0.9552875414987372, 0.9684821370930188, 0.9532953877455191, 1.0264351552979996]"
1,0.05,9,1,"[6.336286190605375, 0.011629429895718477, 0.012524490355864056]","[[6.336286190605375, 0.011629429895718477, 0.012524490355864056]]",1,"[0.004766282851328745, 0.00749577182414507]","[[0.004766282851328745, 0.00749577182414507]]","[6.336286190615259, 0.012524490355859171, 0.011629429895734168, 0.00476628285150933, 0.20553803500703263, 0.007495771828416211]","[0.9653669171874414, 0.9672882004332933, 0.9552875414987372, 0.9684821370930188, 0.9532953877455191, 1.0264351552979996]"
1,0.05,10,4,"[6.336286190616564, 0.011629429895735479, 0.012524490355867543]","[[16.4956187856428, 0.019816607387784405, 0.026261423931274244], [8.685254220046893e-6, 0.20045081281766222, -0.12662305051295808], [37.26209128292378, 0.028925299559316036, 0.012694459629668278], [6.336286190616564, 0.011629429895735479, 0.012524490355867543]]",2,"[0.004766282851499545, 0.007495771828646697]","[[0.061348382362335134, 0.33420819785690853], [0.004766282851499545, 0.007495771828646697]]","[6.336286190615259, 0.012524490355859171, 0.011629429895734168, 0.00476628285150933, 0.20553803500703263, 0.007495771828416211]","[0.9653669171874414, 0.9672882004332933, 0.9552875414987372, 0.9684821370930188, 0.9532953877455191, 1.0264351552979996]"
